,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
4378,4/22/2012,Season 2,Episode 4,Garden of Bones,robb stark,Volantis? You're far from home. The boy was lucky you were here.,House Stark, volantis you are far from home the boy was lucky you were here,13,"['volantis', 'you', 'are', 'far', 'from', 'home', 'the', 'boy', 'was', 'lucky', 'you', 'were', 'here']","['volantis', 'far', 'home', 'boy', 'lucky']","['volantis', 'far', 'home', 'boy', 'lucky']", volantis far home boy lucky,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,0.0006485234510712217,0.0004716981132075472,0.0,0.0006341154090044388
6020,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,talisa,I'm sure you'll be very happy.,House Stark, i am sure you will be very happy,8,"['i', 'am', 'sure', 'you', 'will', 'be', 'very', 'happy']","['sure', 'happy']","['sure', 'happy']", sure happy,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7184}",0.7184,0.0,0.0,0.0009129640900791236,0.0
4745,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,lancel lannister,It is not a lie. Why would I lie?,House Lannister, it is not a lie why would i lie,9,"['it', 'is', 'not', 'a', 'lie', 'why', 'would', 'i', 'lie']","['lie', 'would', 'lie']","['lie', 'would', 'lie']", lie would lie,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0016599112140513416,0.001867138364779874,0.0012172854534388314,0.0004227436060029592
4366,4/22/2012,Season 2,Episode 4,Garden of Bones,talisa,That should help his foot grow back.,House Stark, that should help his foot grow back,7,"['that', 'should', 'help', 'his', 'foot', 'grow', 'back']","['help', 'foot', 'grow', 'back']","['help', 'foot', 'grow', 'back']", help foot grow back,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,0.0,0.0007370283018867925,0.0005325623858794887,0.0
6747,6/3/2012,Season 2,Episode 10,Valar Morghulis,grand maester pycelle,The murderer and traitor Stannis Baratheon suffered a stunning defeat at the hands of your father.,House Lannister, the murderer and traitor stannis baratheon suffered a stunning defeat at the hands of your father,16,"['the', 'murderer', 'and', 'traitor', 'stannis', 'baratheon', 'suffered', 'a', 'stunning', 'defeat', 'at', 'the', 'hands', 'of', 'your', 'father']","['murderer', 'traitor', 'stannis', 'baratheon', 'suffered', 'stunning', 'defeat', 'hands', 'father']","['murderer', 'traitor', 'stannis', 'baratheon', 'suffered', 'stunning', 'defeat', 'hand', 'father']", murderer traitor stannis baratheon suffered stunning defeat hand father,"{'neg': 0.524, 'neu': 0.194, 'pos': 0.282, 'compound': -0.7184}",-0.7184,0.0005275686804349225,0.0007315688329839273,0.00016906742408872658,0.0002113718030014796
5668,5/13/2012,Season 2,Episode 7,A Man Without Honor,daenerys targaryen,Nothing? They're more valuable than anything in the world.,House Targaryen, nothing they are more valuable than anything in the world,10,"['nothing', 'they', 'are', 'more', 'valuable', 'than', 'anything', 'in', 'the', 'world']","['nothing', 'valuable', 'anything', 'world']","['nothing', 'valuable', 'anything', 'world']", nothing valuable anything world,"{'neg': 0.46, 'neu': 0.54, 'pos': 0.0, 'compound': -0.3724}",-0.3724,0.0007817023740590619,0.0002456761006289308,0.0011412051125989043,0.0
6998,6/3/2012,Season 2,Episode 10,Valar Morghulis,arya stark,Could it buy a horse?,House Stark, could it buy a horse,5,"['could', 'it', 'buy', 'a', 'horse']","['could', 'buy', 'horse']","['could', 'buy', 'horse']", could buy horse,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006176413819725922,0.0004913522012578616,0.0005072022722661798,0.0
5061,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,daenerys targaryen,And how did you get all of this? Did someone give it to you?,House Targaryen, and how did you get all of this did someone give it to you,14,"['and', 'how', 'did', 'you', 'get', 'all', 'of', 'this', 'did', 'someone', 'give', 'it', 'to', 'you']","['get', 'someone', 'give']","['get', 'someone', 'give']", get someone give,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0008106543138390272,0.0011792452830188679,0.0,0.0004227436060029592
6575,5/27/2012,Season 2,Episode 9,Blackwater,sansa stark,For the gods to have mercy on us all.,House Stark, for the gods to have mercy on us all,9,"['for', 'the', 'gods', 'to', 'have', 'mercy', 'on', 'us', 'all']","['gods', 'mercy', 'us']","['god', 'mercy', 'u']", god mercy u,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",0.5574,0.0,0.0,0.0,0.0
5397,5/6/2012,Season 2,Episode 6,The Old Gods and the New,tywin lannister,A stonemason who could read? Hmm.,House Lannister, a stonemason who could read hmm,6,"['a', 'stonemason', 'who', 'could', 'read', 'hmm']","['stonemason', 'could', 'read', 'hmm']","['stonemason', 'could', 'read', 'hmm']", stonemason could read hmm,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0004632310364794441,0.00036851415094339625,0.0003804017041996348,0.0
6965,6/3/2012,Season 2,Episode 10,Valar Morghulis,tyrion lannister,I want to go with you.,House Lannister, i want to go with you,6,"['i', 'want', 'to', 'go', 'with', 'you']","['want', 'go']","['want', 'go']", want go,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.0772}",0.0772,0.001910828025477707,0.0040782232704402515,0.0036518563603164943,0.0031705770450221942
5124,5/6/2012,Season 2,Episode 6,The Old Gods and the New,bran stark,I've yielded Winterfell to Theon.,House Stark, i have yielded winterfell to theon,6,"['i', 'have', 'yielded', 'winterfell', 'to', 'theon']","['yielded', 'winterfell', 'theon']","['yielded', 'winterfell', 'theon']", yielded winterfell theon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0006223794549266247,0.0,0.0
4612,4/22/2012,Season 2,Episode 4,Garden of Bones,lancel lannister,"When the Queen Regent gives me a command, I carry it out without delay.",House Lannister, when the queen regent gives me a command i carry it out without delay,14,"['when', 'the', 'queen', 'regent', 'gives', 'me', 'a', 'command', 'i', 'carry', 'it', 'out', 'without', 'delay']","['queen', 'regent', 'gives', 'command', 'carry', 'without', 'delay']","['queen', 'regent', 'give', 'command', 'carry', 'without', 'delay']", queen regent give command carry without delay,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.2411}",0.2411,0.00014889569029696417,0.00032288858939802335,0.00034779584383966614,0.00036235166228825073
3179,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,"Well struck… Well struck, Dog.",House Lannister, well struck… well struck dog,5,"['well', 'struck', 'well', 'struck', 'dog']","['well', 'struck', 'well', 'struck', 'dog']","['well', 'struck', 'well', 'struck', 'dog']", well struck well struck dog,"{'neg': 0.435, 'neu': 0.109, 'pos': 0.457, 'compound': 0.0516}",0.0516,0.0006022003474232773,0.0007468553459119497,0.00048691418137553256,0.0007609384908053266
3812,4/8/2012,Season 2,Episode 2,The Night Lands,arya stark,What did they ask about?,House Stark, what did they ask about,5,"['what', 'did', 'they', 'ask', 'about']",['ask'],['ask'], ask,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
4150,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,Please.,House Lannister, please,1,['please'],['please'],['please'], please,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.3182,0.0,0.0015723270440251573,0.0015216068167985392,0.0
6174,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,arya stark,I'm sorry. I'll-,House Stark, i am sorry ill,4,"['i', 'am', 'sorry', 'ill']","['sorry', 'ill']","['sorry', 'ill']", sorry ill,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0004053271569195136,0.0,0.0,0.0
6247,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,cersei lannister,Get out.,House Lannister, get out,2,"['get', 'out']",['get'],['get'], get,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013896931094383323,0.0023584905660377358,0.0,0.0012682308180088776
4164,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,Precisely.,House Lannister, precisely,1,['precisely'],['precisely'],['precisely'], precisely,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
3945,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,"As has Jaime repeatedly, according to Stannis Baratheon.",House Lannister, as has jaime repeatedly according to stannis baratheon,8,"['as', 'has', 'jaime', 'repeatedly', 'according', 'to', 'stannis', 'baratheon']","['jaime', 'repeatedly', 'according', 'stannis', 'baratheon']","['jaime', 'repeatedly', 'according', 'stannis', 'baratheon']", jaime repeatedly according stannis baratheon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00032426172553561087,0.00019654088050314466,0.0,0.0
5190,5/6/2012,Season 2,Episode 6,The Old Gods and the New,jon snow,He's not a pet.,House Stark, he is not a pet,5,"['he', 'is', 'not', 'a', 'pet']",['pet'],['pet'], pet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
5844,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton,Tell me.,House Lannister, tell me,2,"['tell', 'me']",['tell'],['tell'], tell,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0017371163867979154,0.0023584905660377358,0.00426049908703591,0.0012682308180088776
6643,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,Now!,House Lannister, now,1,['now'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6189,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,arya stark,That's right.,House Stark, that is right,3,"['that', 'is', 'right']",['right'],['right'], right,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0016213086276780544,0.0018671383647798742,0.0,0.0025364616360177552
5128,5/6/2012,Season 2,Episode 6,The Old Gods and the New,bran stark,"Farlen, you be silent.",House Stark, farlen you be silent,4,"['farlen', 'you', 'be', 'silent']","['farlen', 'silent']","['farlen', 'silent']", farlen silent,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
4967,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,jorah mormont,Do I know you?,House Mormont, do i know you,4,"['do', 'i', 'know', 'you']",['know'],['know'], know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0023161551823972205,0.0047169811320754715,0.00426049908703591,0.0019023462270133164
6467,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,"No, I don't believe you have.",House Lannister, no i do not believe you have,7,"['no', 'i', 'do', 'not', 'believe', 'you', 'have']",['believe'],['believe'], believe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0012738853503184713,0.0,0.0,0.0012682308180088776
5315,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,What are you doing? I want these people executed!,House Lannister, what are you doing i want these people executed,9,"['what', 'are', 'you', 'doing', 'i', 'want', 'these', 'people', 'executed']","['want', 'people', 'executed']","['want', 'people', 'executed']", want people executed,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.0772}",0.0772,0.0006948465547191662,0.0015068134171907757,0.0022316899979711907,0.0019023462270133164
3511,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,The King does not ask; He commands. And my grandfather's stupidity in the field of battle is the reason Robb Stark has Uncle Jaime in the first place.,House Lannister, the king does not ask he commands and my grandfathers stupidity in the field of battle is the reason robb stark has uncle jaime in the first place,28,"['the', 'king', 'does', 'not', 'ask', 'he', 'commands', 'and', 'my', 'grandfathers', 'stupidity', 'in', 'the', 'field', 'of', 'battle', 'is', 'the', 'reason', 'robb', 'stark', 'has', 'uncle', 'jaime', 'in', 'the', 'first', 'place']","['king', 'ask', 'commands', 'grandfathers', 'stupidity', 'field', 'battle', 'reason', 'robb', 'stark', 'uncle', 'jaime', 'first', 'place']","['king', 'ask', 'command', 'grandfather', 'stupidity', 'field', 'battle', 'reason', 'robb', 'stark', 'uncle', 'jaime', 'first', 'place']", king ask command grandfather stupidity field battle reason robb stark uncle jaime first place,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.6705}",-0.6705,0.0008023823310447514,0.0005685646900269542,0.00034779584383966614,0.0004076456200742821
4240,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,"No, he won't. But his mother might. How would you like to see your beloved Cat again?",House Lannister, no he wont but his mother might how would you like to see your beloved cat again,17,"['no', 'he', 'wont', 'but', 'his', 'mother', 'might', 'how', 'would', 'you', 'like', 'to', 'see', 'your', 'beloved', 'cat', 'again']","['wont', 'mother', 'might', 'would', 'like', 'see', 'beloved', 'cat']","['wont', 'mother', 'might', 'would', 'like', 'see', 'beloved', 'cat']", wont mother might would like see beloved cat,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7003}",0.7003,0.0016647365373480022,0.001547759433962264,0.001103164942178941,0.0005548509828788839
5920,5/13/2012,Season 2,Episode 7,A Man Without Honor,tyrion lannister,He needs to start acting like a king. This war you started is coming to our doorstep. And if the entire city wants Joffrey dead,House Lannister, he needs to start acting like a king this war you started is coming to our doorstep and if the entire city wants joffrey dead,25,"['he', 'needs', 'to', 'start', 'acting', 'like', 'a', 'king', 'this', 'war', 'you', 'started', 'is', 'coming', 'to', 'our', 'doorstep', 'and', 'if', 'the', 'entire', 'city', 'wants', 'joffrey', 'dead']","['needs', 'start', 'acting', 'like', 'king', 'war', 'started', 'coming', 'doorstep', 'entire', 'city', 'wants', 'joffrey', 'dead']","['need', 'start', 'acting', 'like', 'king', 'war', 'started', 'coming', 'doorstep', 'entire', 'city', 'want', 'joffrey', 'dead']", need start acting like king war started coming doorstep entire city want joffrey dead,"{'neg': 0.373, 'neu': 0.455, 'pos': 0.173, 'compound': -0.7506}",-0.7506,0.000661758623542063,0.001144148697214735,0.0009129640900791236,0.001041761029078721
6228,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,tyrion lannister,I thought you preferred blondes.,House Lannister, i thought you preferred blondes,5,"['i', 'thought', 'you', 'preferred', 'blondes']","['thought', 'preferred', 'blondes']","['thought', 'preferred', 'blonde']", thought preferred blonde,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
5762,5/13/2012,Season 2,Episode 7,A Man Without Honor,jon snow,Nothing happened between you and me.,House Stark, nothing happened between you and me,6,"['nothing', 'happened', 'between', 'you', 'and', 'me']","['nothing', 'happened']","['nothing', 'happened']", nothing happened,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0011001737116386797,0.0004913522012578616,0.0010651247717589774,0.0
6742,6/3/2012,Season 2,Episode 10,Valar Morghulis,tyrion lannister,Pod.,House Lannister, pod,1,['pod'],['pod'],['pod'], pod,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
3334,4/1/2012,Season 2,Episode 1,The North Remembers,jorah mormont,We did. We passed through six villages on the way here. All six were abandoned. Where have all the wildlings gone?,House Mormont, we did we passed through six villages on the way here all six were abandoned where have all the wildlings gone,21,"['we', 'did', 'we', 'passed', 'through', 'six', 'villages', 'on', 'the', 'way', 'here', 'all', 'six', 'were', 'abandoned', 'where', 'have', 'all', 'the', 'wildlings', 'gone']","['passed', 'six', 'villages', 'way', 'six', 'abandoned', 'wildlings', 'gone']","['passed', 'six', 'village', 'way', 'six', 'abandoned', 'wildlings', 'gone']", passed six village way six abandoned wildlings gone,"{'neg': 0.3, 'neu': 0.7, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0.0,0.00014740566037735848,0.0003423615337796713,0.0001585288522511097
6957,6/3/2012,Season 2,Episode 10,Valar Morghulis,tyrion lannister,I'm a monster as well as a dwarf. You should charge me double.,House Lannister, i am a monster as well as a dwarf you should charge me double,14,"['i', 'am', 'a', 'monster', 'as', 'well', 'as', 'a', 'dwarf', 'you', 'should', 'charge', 'me', 'double']","['monster', 'well', 'dwarf', 'charge', 'double']","['monster', 'well', 'dwarf', 'charge', 'double']", monster well dwarf charge double,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.2732}",0.2732,0.00030110017371163866,0.00037342767295597487,0.00024345709068776628,0.0003804692454026633
5808,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton,You did. Your squire had gotten so drunk the night before that he threw up.,House Lannister, you did your squire had gotten so drunk the night before that he threw up,15,"['you', 'did', 'your', 'squire', 'had', 'gotten', 'so', 'drunk', 'the', 'night', 'before', 'that', 'he', 'threw', 'up']","['squire', 'gotten', 'drunk', 'night', 'threw']","['squire', 'gotten', 'drunk', 'night', 'threw']", squire gotten drunk night threw,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}",-0.34,0.0,0.0,0.0,0.0003804692454026633
3582,4/8/2012,Season 2,Episode 2,The Night Lands,arya stark,I have friends.,House Stark, i have friends,3,"['i', 'have', 'friends']",['friends'],['friend'], friend,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",0.4939,0.0,0.0,0.0,0.0
3431,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,And so did the country.,House Lannister, and so did the country,5,"['and', 'so', 'did', 'the', 'country']",['country'],['country'], country,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
3205,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,Beloved nephew.,House Lannister, beloved nephew,2,"['beloved', 'nephew']","['beloved', 'nephew']","['beloved', 'nephew']", beloved nephew,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.5106}",0.5106,0.0,0.0,0.0,0.0
3219,4/1/2012,Season 2,Episode 1,The North Remembers,grand maester pycelle,"The raven arrived from the Citadel this morning, Your Grace. The conclave has met, , considered reports from Maesters all over the Seven Kingdoms, and declared this great summer done, at last. The longest summer in living memory.",House Lannister, the raven arrived from the citadel this morning your grace the conclave has met  considered reports from maesters all over the seven kingdoms and declared this great summer done at last the longest summer in living memory,37,"['the', 'raven', 'arrived', 'from', 'the', 'citadel', 'this', 'morning', 'your', 'grace', 'the', 'conclave', 'has', 'met', 'considered', 'reports', 'from', 'maesters', 'all', 'over', 'the', 'seven', 'kingdoms', 'and', 'declared', 'this', 'great', 'summer', 'done', 'at', 'last', 'the', 'longest', 'summer', 'in', 'living', 'memory']","['raven', 'arrived', 'citadel', 'morning', 'grace', 'conclave', 'met', 'considered', 'reports', 'maesters', 'seven', 'kingdoms', 'declared', 'great', 'summer', 'done', 'last', 'longest', 'summer', 'living', 'memory']","['raven', 'arrived', 'citadel', 'morning', 'grace', 'conclave', 'met', 'considered', 'report', 'maesters', 'seven', 'kingdom', 'declared', 'great', 'summer', 'done', 'last', 'longest', 'summer', 'living', 'memory']", raven arrived citadel morning grace conclave met considered report maesters seven kingdom declared great summer done last longest summer living memory,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.7845}",0.7845,0.0002150715526511705,0.0001497454327643007,0.0001304234414398748,9.058791557206268e-05
5737,5/13/2012,Season 2,Episode 7,A Man Without Honor,daenerys targaryen,Irri is dead.,House Targaryen, irri is dead,3,"['irri', 'is', 'dead']","['irri', 'dead']","['irri', 'dead']", irri dead,"{'neg': 0.811, 'neu': 0.189, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.0,0.0007861635220125787,0.0,0.0009511731135066582
6585,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,One for her.,House Lannister, one for her,3,"['one', 'for', 'her']",['one'],['one'], one,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0027793862188766646,0.0033411949685534592,0.00426049908703591,0.0019023462270133164
4254,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,grand maester pycelle,"No, no, no.",House Lannister, no no no,3,"['no', 'no', 'no']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
5655,5/13/2012,Season 2,Episode 7,A Man Without Honor,tywin lannister,Go on.,House Lannister, go on,2,"['go', 'on']",['go'],['go'], go,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0017371163867979154,0.003636006289308176,0.0018259281801582471,0.0025364616360177552
5401,5/6/2012,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"You're a sharp little thing, aren't you?",House Lannister, you are a sharp little thing are not you,9,"['you', 'are', 'a', 'sharp', 'little', 'thing', 'are', 'not', 'you']","['sharp', 'little', 'thing']","['sharp', 'little', 'thing']", sharp little thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0011194750048253233,0.0003275681341719078,0.0,0.0004227436060029592
4563,4/22/2012,Season 2,Episode 4,Garden of Bones,daenerys targaryen,"My friend, we have traveled very far. We have no food, no water. Once I see my people fed, I would be honored",House Targaryen, my friend we have traveled very far we have no food no water once i see my people fed i would be honored,23,"['my', 'friend', 'we', 'have', 'traveled', 'very', 'far', 'we', 'have', 'no', 'food', 'no', 'water', 'once', 'i', 'see', 'my', 'people', 'fed', 'i', 'would', 'be', 'honored']","['friend', 'traveled', 'far', 'food', 'water', 'see', 'people', 'fed', 'would', 'honored']","['friend', 'traveled', 'far', 'food', 'water', 'see', 'people', 'fed', 'would', 'honored']", friend traveled far food water see people fed would honored,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.7906}",0.7906,0.0007295888824551246,0.0008254716981132076,0.0006390748630553864,0.000507292327203551
5708,5/13/2012,Season 2,Episode 7,A Man Without Honor,robb stark,"Continue, my lady.",House Stark, continue my lady,3,"['continue', 'my', 'lady']","['continue', 'lady']","['continue', 'lady']", continue lady,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013317892298784018,0.0007370283018867925,0.0,0.0
3552,4/8/2012,Season 2,Episode 2,The Night Lands,cersei lannister,I've done nothing.,House Lannister, i have done nothing,4,"['i', 'have', 'done', 'nothing']","['done', 'nothing']","['done', 'nothing']", done nothing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006948465547191662,0.0009827044025157233,0.0010651247717589774,0.0
7047,6/3/2012,Season 2,Episode 10,Valar Morghulis,jon snow,Stop!,House Stark, stop,1,['stop'],['stop'],['stop'], stop,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.001474056603773585,0.002130249543517955,0.0
5335,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,They attacked me!,House Lannister, they attacked me,3,"['they', 'attacked', 'me']",['attacked'],['attacked'], attacked,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0.0,0.0,0.0,0.0
4113,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,cersei lannister,"Soon, darling, when the war is over.",House Lannister, soon darling when the war is over,7,"['soon', 'darling', 'when', 'the', 'war', 'is', 'over']","['soon', 'darling', 'war']","['soon', 'darling', 'war']", soon darling war,"{'neg': 0.448, 'neu': 0.115, 'pos': 0.437, 'compound': -0.0258}",-0.0258,0.0,0.0,0.0,0.0
5171,5/6/2012,Season 2,Episode 6,The Old Gods and the New,luwin,"He is worth more to you alive than dead. The Starks will pay. Please, Theon, think what you do.",House Stark, he is worth more to you alive than dead the starks will pay please theon think what you do,19,"['he', 'is', 'worth', 'more', 'to', 'you', 'alive', 'than', 'dead', 'the', 'starks', 'will', 'pay', 'please', 'theon', 'think', 'what', 'you', 'do']","['worth', 'alive', 'dead', 'starks', 'pay', 'please', 'theon', 'think']","['worth', 'alive', 'dead', 'starks', 'pay', 'please', 'theon', 'think']", worth alive dead starks pay please theon think,"{'neg': 0.368, 'neu': 0.194, 'pos': 0.439, 'compound': 0.0258}",0.0258,0.0003184713375796178,0.0005527712264150943,0.0004184418746195983,0.0009511731135066582
3512,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,His life is in danger.,House Lannister, his life is in danger,5,"['his', 'life', 'is', 'in', 'danger']","['life', 'danger']","['life', 'danger']", life danger,"{'neg': 0.773, 'neu': 0.227, 'pos': 0.0, 'compound': -0.5267}",-0.5267,0.0006948465547191662,0.0004913522012578616,0.0009129640900791236,0.0
4008,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,luwin,"Hodor. Rouse Bran, will you? It's time for his lessons.",House Stark, hodor rouse bran will you it is time for his lessons,11,"['hodor', 'rouse', 'bran', 'will', 'you', 'it', 'is', 'time', 'for', 'his', 'lessons']","['hodor', 'rouse', 'bran', 'time', 'lessons']","['hodor', 'rouse', 'bran', 'time', 'lesson']", hodor rouse bran time lesson,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0004863925883034163,0.0007861635220125787,0.00024345709068776628,0.0
6402,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,"If the city falls, Stannis will burn every Lannister he can find. Of course I'm afraid.",House Lannister, if the city falls stannis will burn every lannister he can find of course i am afraid,17,"['if', 'the', 'city', 'falls', 'stannis', 'will', 'burn', 'every', 'lannister', 'he', 'can', 'find', 'of', 'course', 'i', 'am', 'afraid']","['city', 'falls', 'stannis', 'burn', 'every', 'lannister', 'find', 'course', 'afraid']","['city', 'fall', 'stannis', 'burn', 'every', 'lannister', 'find', 'course', 'afraid']", city fall stannis burn every lannister find course afraid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00014154281670205238,0.00025113556953179595,0.0,0.0004227436060029592
5178,5/6/2012,Season 2,Episode 6,The Old Gods and the New,bran stark,Stop. Stop! Stop right now!,House Stark, stop stop stop right now,5,"['stop', 'stop', 'stop', 'right', 'now']","['stop', 'stop', 'stop', 'right']","['stop', 'stop', 'stop', 'right']", stop stop stop right,"{'neg': 0.868, 'neu': 0.132, 'pos': 0.0, 'compound': -0.6808}",-0.6808,0.0004053271569195136,0.0015723270440251573,0.001597687157638466,0.0006341154090044388
5331,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,You can't insult me.,House Lannister, you cannot insult me,4,"['you', 'cannot', 'insult', 'me']","['cannot', 'insult']","['cannot', 'insult']", cannot insult,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.4023}",0.4023,0.0004053271569195136,0.0011792452830188679,0.0010651247717589774,0.0009511731135066582
